UserID,Timestamp,Accuracy
6420063,2024-10-05 05:10:20.842783+00:00,56.19%
6420063,2024-10-05 05:10:21.030747+00:00,57.67%
6420063,2024-10-05 05:10:21.217750+00:00,58.42%
6420063,2024-10-05 05:10:21.403679+00:00,59.58%
6420063,2024-10-05 05:10:21.588980+00:00,58.55%
6420063,2024-10-05 05:10:21.774777+00:00,58.90%
6420063,2024-10-05 05:10:21.962062+00:00,61.30%
6420063,2024-10-05 05:10:22.148137+00:00,62.64%
6420063,2024-10-05 05:10:22.332469+00:00,63.48%
6420063,2024-10-05 05:10:22.519714+00:00,62.07%
6420063,2024-10-05 05:10:22.704284+00:00,64.39%
6420063,2024-10-05 05:10:22.889124+00:00,60.35%
6420063,2024-10-05 05:10:23.076199+00:00,61.23%
6420063,2024-10-05 05:10:23.261383+00:00,59.91%
6420063,2024-10-05 05:10:23.449332+00:00,64.05%
6420063,2024-10-05 05:10:23.635717+00:00,63.13%
6420063,2024-10-05 05:10:23.822494+00:00,63.87%
6420063,2024-10-05 05:10:24.007345+00:00,64.90%
6420063,2024-10-05 05:10:24.193664+00:00,57.63%
6420063,2024-10-05 05:10:24.376925+00:00,57.69%
6420063,2024-10-05 05:10:24.562186+00:00,56.57%
6420063,2024-10-05 05:10:24.747413+00:00,50.42%
6420063,2024-10-05 05:10:24.934380+00:00,47.61%
6420063,2024-10-05 05:10:25.120387+00:00,45.93%
6420063,2024-10-05 05:10:25.305640+00:00,45.27%
6420063,2024-10-05 05:10:25.491368+00:00,47.19%
6420063,2024-10-05 05:10:25.677632+00:00,45.43%
6420063,2024-10-05 05:10:25.864862+00:00,43.79%
6420063,2024-10-05 05:10:26.049367+00:00,46.41%
6420063,2024-10-05 05:10:26.236119+00:00,49.30%
6420063,2024-10-05 05:10:26.420650+00:00,52.81%
6420063,2024-10-05 05:10:26.605683+00:00,51.74%
6420063,2024-10-05 05:10:26.792014+00:00,54.92%
6420063,2024-10-05 05:10:26.977202+00:00,55.64%
6420063,2024-10-05 05:10:27.162202+00:00,52.57%
6420063,2024-10-05 05:10:27.346660+00:00,54.99%
6420063,2024-10-05 05:10:27.531266+00:00,56.42%
6420063,2024-10-05 05:10:27.715894+00:00,55.44%
